Aladdin,A Whole New World,"(Aladdin) I can show you the world
Shining, shimmering, splendid
Tell me, princess, now when did
You last let your heart decide?
I can open your eyes
Take you wonder by wonder
Over, sideways and under
On a magic carpet ride
A whole new world
A new fantastic point of view
No one to tell us no
Or where to go
Or say we're only dreaming
(Jasmine) A whole new world
A dazzling place I never knew
But when I'm way up here
It's crystal clear
that now I'm in a whole new world with you
(Aladdin) Now I'm in a whole new world with you
(Jasmine) Unbelievable sights
Indescribable feeling
Soaring, tumbling, freewheeling
Through an endless diamond sky
(Jasmine) A whole new world
(Aladdin) Don't you dare close your eyes
(Jasmine) A hundred thousand things to see
(Aladdin) Hold your breath - it gets better
(jasmine) I'm like a shooting star
I've come so far
I can't go back to where I used to be
(Aladdin) A whole new world
(Jasmine) Every turn a surprise
(Aladdin) With new horizons to pursue
(Jasmine) Every moment gets better
(Both) I'll chase them anywhere
There's time to spare
Let me share this whole new world with you
(Aladdin) A whole new world
(Jasmine) A whole new world
(Aladdin) That's where we'll be
(Jasmine) That's where we'll be
(Aladdin) A thrilling chase
(Jasmine) A wondrous place
(Both) For you and me
"
Hercules ,Disney's Hercules Go The Distance,"I have often dreamed
Of a far off place
Where a great warm welcome
Will be waiting for me
Where the crowds will cheer
When they see my face
And a voice keeps saying
This is where I'm meant to be
I will find my way
I can go the distance
I'll be there someday
If I can be strong
I know every mile
Will be worth my while
I would go most anywhere
To feel like I belong
I am on my way
I can go the distance
I don't care how far
Somehow I'll be strong
I know every mile
Will be worth my while
I would go most anywhere
to find where I belong
I will beat the odds
I can go the distance
I will face the world
Fearless, proud, and strong
I will please the gods
I can go the distance
Till I find the Hero's welcome
Right where I belong
"
The magic of Disney,Someday My Prince Will Come,"Someday my prince will come
Someday I'll find my love
And how thrilling that moment will be
When the prince of my dreams comes to me
He'll whisper I love you
And steal a kiss or two
Though he's far away I'll find my love someday
Someday when my dreams come true
Someday I'll find my love
Someone to call my own
And I know at the moment we meet
oh, my heart will start skipping a beat
Someday we'll say and do
Things we've been longing to
Though he's far away I'll find my love someday
Someday when my dreams come true
Someday my prince will come
Someday we'll meet again
And away to his castle we'll go
To be happy forever I know
Someday when spring is here
We'll find our love anew
And the birds will sing and weddingbells will ring
Someday when my dreams come true
"
Beauty And The Beast,Beauty And The Beast,"Tale as old as time
True as it can be
Barely even friends
Then somebody bends
Unexpectedly
Just a little change
Small to say the least
Both a little scared
Neither one prepared
Beauty and the beast
Ever just the same
Ever a surprise
Ever as before and ever just as sure as the sun will rise
Tale as old as time
Tune as old as song
Bitter sweet and strange
Finding you can change
Learning you were wrong
Certain as the sun
Rising in the east
Tale as old as time
Song as old as rhyme
Beauty and the beast
Tale as old as time
Song as old as rhyme
Beauty and the beast
"
Lion king,Can You Feel The Love Tonight,"Timon and Pumba:
I can see what's happening (what?!) 
And they don't have a clue (who?!) 
They'll fall in love and here's the bottom line
Our trio's down to two (ooh.) 
The sweet caress of twilight
There's magic everywhere
And with all this romantic atmosphere
Disaster's in the air!
Chorus
Nala:
Can you feel the love tonight
The peace the evening brings
The world for once
In perfect harmony
With all its living things
Simba:
So many things to tell her
But how to make her see
The truth about my past? Impossible!
She'd turn away from me
Nala:
He's holding back he's hiding
But what I can't decide
Why won't he be the king I know he is
The king I see inside?
Chorus
Nala and Simba:
Can you feel the love tonight
The peace the evening brings
The world for once
In perfect harmony
With all its living things
Can you feel the love tonight
You needn’t look too far
Stealing through
The night's uncertainties
Love is where we are
Timon and Pumba:
And if he falls in love tonight (sniff) 
It can be assumed
His care-free days with us are history
In short our pal is doomed!
(Timon and Pumba crying) 
"
Mulan (Disney soundtrack), I'll Make A Man Out Of You,"Shang:
Let's get down to business--to defeat the Huns! (Hah!) 
Did they send me daughters when I asked for sons?
You're the saddest bunch I ever met
But you can bet before we're through
Mister, I'll make a man out of you!
Tranquil as a forest
But on fire within
Once you find your center
You are sure to win
You're a spineless, pale, pathetic lot
And you haven't got a clue
Somehow I'll make a man out of you!
Chien-Po:
I'm never gonna catch my breath
Yao:
Say good-bye to those who knew me
Ling:
Boy was I a fool in school for cutting gym
Mushu:
This guy's got 'em scared to death
Mulan:
Hope he doesn't see right through me
Chien-Po:
Now I really wish that I knew how to swim!
Shang and Chorus:
(Be a man) 
We must be swift as the coursing river!
(Be a man) 
With all the force of a great typhoon!
(Be a man) 
With all the strength of a raging fire!
Mysterious as the dark side of the moon
Time is racing toward us till the Huns arrive
Heed my every order and you might survive
You're unsuited for the rage of war
So pack up, go home, you're through
How could I make a man out of you?
Shang and Chorus:
(Be a man) 
We must be swift as the coursing river!
(Be a man) 
With all the force of a great typhoon!
(Be a man) 
With all the strength of a raging fire!
Mysterious as the dark side of the moon
(Be a man) 
We must be swift as the coursing river!
(Be a man) 
With all the force of a great typhoon!
(Be a man) 
With all the strength of a raging fire!
Mysterious as the dark side of the moon
"
Moana,I am moana,"Gramma Tala): I know a girl from an island
She stands apart from the crowd
She loves the sea and her people
She makes her whole family proud
Sometimes the world seems against you,
The journey may leave a scar
But scars can heal and reveal just
Where you are
The people you love will change you
The things you have learned will guide you
And nothing on Earth can silence
The quiet voice still inside you
And when that voice starts to whisper
Moana, you've come so far
Moana, listen
Do you know who you are?
(Moana): Who am I?
I am the girl who loves my island
I'm the girl who loves the sea
It calls me
I am the daughter of the village chief
We are descended from voyagers
Who found their way across the world
They call me
I've delivered us to where we are
I have journeyed farther
I am everything I've learned and more
Still it calls me
And the call isn't out there at all
It's inside me
It's like the tide, always falling and rising
I will carry you here in my heart
You'll remind me
That come what may, I know the way
I am Moana!
"
mckenzie goll,I am the best in both worlds,"lucy
ohhhh......
I'm a girl in both worlds oh ya
I can dream about many things about love
I so scaried to tell him that I am the best in both worlds
I can I can I can dream about everything about love love love
tonight ohhhhhhhhhhhhh ya ohhhhhhhhhhhhhhhhhhhh ya oh ya 
mike
I can be the best but I am the best in both worlds
too but I'm in love too with you but I can't tell who you are?
hello my lover ya
both
I am the best in both worlds I love you too tonight oh ya oh ya
tonight I am the best in both worlds I love you
"
Disney ,I Can Go The Distance,"I have often dreamed
Of a far-off place
Where a great warm welcome
Will be waiting for me
Where the crowds will cheer
When they see my face
And a voice keeps saying
This is where I'm meant to be
I will find my way
I can go the distance
I'll be there someday
If I can be strong
I know every mile
Will be worth my while
I would go most anywhere
To feel like I belong
I am on my way
I can go the distance
I don't care how far
Somehow I'll be strong
I know every mile
will be worth my while
I would go most anywhere
to find where I belong.
"
The Lion King,I Just Can't Wait To Be King,"[Simba] I'm gonna be a mighty king
So enemies beware!
[Zazu] Well, I've never seen a king or beast with quite so little hair
[Simba] I'm gonna be the main event
Like no king was before
I'm brushing up on looking down
I'm working on my ROAR
[Zazu] That's, a rather uninspiring thing
[Simba] Oh, I just can't wait to be king!
[Zazu: (Speaking) ] You've rather a long way to go,
young master, if you think...
[Simba] No one saying do this
[Zazu] Now when I said that, I--
[Nala] No one saying be there
[Zazu] What I meant was...
[Simba] No one saying stop that
[Zazu] Look, what you don't realize...
[Simba and Nala] No one saying see here
[Zazu] Now see here!
[Simba] Free to run around all day
[Zazu] Well, that's definitely out...
[Simba] Free to do it all my way!
[Zazu] I think it's time that you and I
Arranged a heart to heart
[Simba] Kings don't need advice
From little hornbills for a start
[Zazu] If this is where the monarchy is headed
Count me out!
Out of service, out of Africa
I wouldn't hang about... aagh!
This child is getting wildly out of wing
[Simba] Oh, I just can't wait to be king!
Everybody look left
Everybody look right
Everywhere you look I'm
Standing in the spotlight!
[Zazu] Not yet!
[Chorus] Let every creature go for broke and sing
Let's hear it in the herd and on the wing
It's gonna be King Simba's finest fling
[Simba & Chorus] Oh I just can't wait...
Just can't waaaaaait ... to be king!
"
